NAME_1;CountryCode;sub_region_gadm;;
peipsi;es;peipsi;;
southern nations;et; nationalities and peoples;;
addis abeba;et;addis abeba;;
afar;et;afar;;
amhara;et;amhara;;
benshangul-gumaz;et;benshangul-gumaz;;
dire dawa;et;dire dawa;;
gambela peoples;et;gambela peoples;;
harari people;et;harari people;;
oromia;et;oromia;;
somali;et;somali;;
tigray;et;tigray;;
eastern finland;fi;eastern finland;;
lapland;fi;lapland;;
oulu;fi;oulu;;
southern finland;fi;southern finland;;
western finland;fi;western finland;;
central;fj;central;;
eastern;fj;eastern;southern nations, nationalities and peoples;
northern;fj;northern;;
rotuma;fj;rotuma;;
western;fj;western;;
chuuk;fm;chuuk;;
kosrae;fm;kosrae;;
pohnpei;fm;pohnpei;;
yap;fm;yap;;
eysturoyar;fo;eysturoyar;;
norderøerne;fo;norderøerne;;
sandoyar;fo;sandoyar;;
streymoyar;fo;streymoyar;;
suðuroyar;fo;suðuroyar;;
vågø;fo;vågø;;
auvergne-rhône-alpes;fr;auvergne-rhône-alpes;;
bourgogne-franche-comté;fr;bourgogne-franche-comté;;
bretagne;fr;bretagne;;
centre-val de loire;fr;centre-val de loire;;
corse;fr;corse;;
grand est;fr;grand est;;
hauts-de-france;fr;hauts-de-france;;
île-de-france;fr;île-de-france;;
normandie;fr;normandie;;
nouvelle-aquitaine;fr;nouvelle-aquitaine;;
occitanie;fr;occitanie;;
pays de la loire;fr;pays de la loire;;
provence-alpes-côte d'azur;fr;provence-alpes-côte d'azur;;
estuaire;ga;estuaire;;
haut-ogooué;ga;haut-ogooué;;
moyen-ogooué;ga;moyen-ogooué;;
ngounié;ga;ngounié;;
nyanga;ga;nyanga;;
ogooué-ivindo;ga;ogooué-ivindo;;
ogooué-lolo;ga;ogooué-lolo;;
ogooué-maritime;ga;ogooué-maritime;;
wouleu-ntem;ga;wouleu-ntem;;
england;gb;england;;
northern ireland;gb;northern ireland;;
scotland;gb;scotland;;
wales;gb;wales;;
carriacou;gd;carriacou;;
saint andrew;gd;saint andrew;;
saint david;gd;saint david;;
saint george;gd;saint george;;
saint john;gd;saint john;;
saint mark;gd;saint mark;;
saint patrick;gd;saint patrick;;
abkhazia;ge;abkhazia;;
ajaria;ge;ajaria;;
guria;ge;guria;;
imereti;ge;imereti;;
kakheti;ge;kakheti;;
kvemo kartli;ge;kvemo kartli;;
mtskheta-mtianeti;ge;mtskheta-mtianeti;;
racha-lechkhumi-kvemo svaneti;ge;racha-lechkhumi-kvemo svaneti;;
samegrelo-zemo svaneti;ge;samegrelo-zemo svaneti;;
samtskhe-javakheti;ge;samtskhe-javakheti;;
shida kartli;ge;shida kartli;;
tbilisi;ge;tbilisi;;
cayenne;gf;cayenne;;
saint-laurent-du-maroni;gf;saint-laurent-du-maroni;;
alderney;gg;alderney;;
brecqhou;gg;brecqhou;;
castel;gg;castel;;
forest;gg;forest;;
herm;gg;herm;;
jethou;gg;jethou;;
saint andrew;gg;saint andrew;;
saint martin;gg;saint martin;;
saint peter port;gg;saint peter port;;
saint pierre du bois;gg;saint pierre du bois;;
saint sampson;gg;saint sampson;;
saint saviour;gg;saint saviour;;
sark;gg;sark;;
torteval;gg;torteval;;
vale;gg;vale;;
ashanti;gh;ashanti;;
brong ahafo;gh;brong ahafo;;
central;gh;central;;
eastern;gh;eastern;;
greater accra;gh;greater accra;;
northern;gh;northern;;
upper east;gh;upper east;;
upper west;gh;upper west;;
volta;gh;volta;;
western;gh;western;;
boké;gi;boké;;
conakry;gi;conakry;;
faranah;gi;faranah;;
kankan;gi;kankan;;
kindia;gi;kindia;;
labé;gi;labé;;
mamou;gi;mamou;;
nzérékoré;gi;nzérékoré;;
kujalleq;gl;kujalleq;;
northeast greenland national park;gl;northeast greenland national park;;
qaasuitsup;gl;qaasuitsup;;
qeqqata;gl;qeqqata;;
sermersooq;gl;sermersooq;;
banjul;gm;banjul;;
lower river;gm;lower river;;
maccarthy island;gm;maccarthy island;;
north bank;gm;north bank;;
upper river;gm;upper river;;
western;gm;western;;
basse-terre;gp;basse-terre;;
pointe-à-pitre;gp;pointe-à-pitre;;
annobón;gq;annobón;;
bioko norte;gq;bioko norte;;
bioko sur;gq;bioko sur;;
centro sur;gq;centro sur;;
kié-ntem;gq;kié-ntem;;
litoral;gq;litoral;;
wele-nzas;gq;wele-nzas;;
peloponnese;gr;western greece and the ionian islands;;
aegean;gr;aegean;;
athos;gr;athos;;
attica;gr;attica;;
crete;gr;crete;;
epirus and western macedonia;gr;epirus and western macedonia;;
macedonia and thrace;gr;macedonia and thrace;;
thessaly and central greece;gr;thessaly and central greece;;
saint clement;gr;saint clement;;
alta verapaz;gt;alta verapaz;peloponnese, western greece and the ionian islands;
baja verapaz;gt;baja verapaz;;
chimaltenango;gt;chimaltenango;;
chiquimula;gt;chiquimula;;
el progreso;gt;el progreso;;
escuintla;gt;escuintla;;
guatemala;gt;guatemala;;
huehuetenango;gt;huehuetenango;;
izabal;gt;izabal;;
jalapa;gt;jalapa;;
jutiapa;gt;jutiapa;;
petén;gt;petén;;
quezaltenango;gt;quezaltenango;;
quiché;gt;quiché;;
retalhuleu;gt;retalhuleu;;
sacatepéquez;gt;sacatepéquez;;
san marcos;gt;san marcos;;
santa rosa;gt;santa rosa;;
sololá;gt;sololá;;
suchitepéquez;gt;suchitepéquez;;
totonicapán;gt;totonicapán;;
zacapa;gt;zacapa;;
agana heights;gu;agana heights;;
agat;gu;agat;;
asan;gu;asan;;
barrigada;gu;barrigada;;
chalan-pago-ordot;gu;chalan-pago-ordot;;
dededo;gu;dededo;;
hagåtña;gu;hagåtña;;
inarajan;gu;inarajan;;
mangilao;gu;mangilao;;
merizo;gu;merizo;;
mongmong-toto-maite;gu;mongmong-toto-maite;;
piti;gu;piti;;
santa rita;gu;santa rita;;
sinajana;gu;sinajana;;
talofofo;gu;talofofo;;
tamuning;gu;tamuning;;
umatac;gu;umatac;;
yigo;gu;yigo;;
yona;gu;yona;;
bafatá;gw;bafatá;;
biombo;gw;biombo;;
bissau;gw;bissau;;
bolama;gw;bolama;;
cacheu;gw;cacheu;;
gabú;gw;gabú;;
oio;gw;oio;;
quinara;gw;quinara;;
tombali;gw;tombali;;
barima-waini;gy;barima-waini;;
cuyuni-mazaruni;gy;cuyuni-mazaruni;;
demerara-mahaica;gy;demerara-mahaica;;
east berbice-corentyne;gy;east berbice-corentyne;;
essequibo islands-west demerara;gy;essequibo islands-west demerara;;
mahaica-berbice;gy;mahaica-berbice;;
pomeroon-supenaam;gy;pomeroon-supenaam;;
potaro-siparuni;gy;potaro-siparuni;;
upper demerara-berbice;gy;upper demerara-berbice;;
upper takutu-upper essequibo;gy;upper takutu-upper essequibo;;
central and western;hk;central and western;;
eastern;hk;eastern;;
islands;hk;islands;;
kowloon city;hk;kowloon city;;
kwai tsing;hk;kwai tsing;;
kwun tong;hk;kwun tong;;
north;hk;north;;
sai kung;hk;sai kung;;
sha tin;hk;sha tin;;
sham shui po;hk;sham shui po;;
southern;hk;southern;;
tai po;hk;tai po;;
tsuen wan;hk;tsuen wan;;
tuen mun;hk;tuen mun;;
wan chai;hk;wan chai;;
wong tai sin;hk;wong tai sin;;
yau tsim mong;hk;yau tsim mong;;
yuen long;hk;yuen long;;
atlántida;hn;atlántida;;
choluteca;hn;choluteca;;
colón;hn;colón;;
comayagua;hn;comayagua;;
copán;hn;copán;;
cortés;hn;cortés;;
el paraíso;hn;el paraíso;;
francisco morazán;hn;francisco morazán;;
gracias a dios;hn;gracias a dios;;
intibucá;hn;intibucá;;
islas de la bahía;hn;islas de la bahía;;
la paz;hn;la paz;;
lempira;hn;lempira;;
ocotepeque;hn;ocotepeque;;
olancho;hn;olancho;;
santa bárbara;hn;santa bárbara;;
valle;hn;valle;;
yoro;hn;yoro;;
bjelovarska-bilogorska;hr;bjelovarska-bilogorska;;
brodsko-posavska;hr;brodsko-posavska;;
dubrovacko-neretvanska;hr;dubrovacko-neretvanska;;
grad zagreb;hr;grad zagreb;;
istarska;hr;istarska;;
karlovacka;hr;karlovacka;;
koprivnicko-križevacka;hr;koprivnicko-križevacka;;
krapinsko-zagorska;hr;krapinsko-zagorska;;
licko-senjska;hr;licko-senjska;;
medimurska;hr;medimurska;;
osjecko-baranjska;hr;osjecko-baranjska;;
požeško-slavonska;hr;požeško-slavonska;;
primorsko-goranska;hr;primorsko-goranska;;
šibensko-kninska;hr;šibensko-kninska;;
sisacko-moslavacka;hr;sisacko-moslavacka;;
splitsko-dalmatinska;hr;splitsko-dalmatinska;;
varaždinska;hr;varaždinska;;
viroviticko-podravska;hr;viroviticko-podravska;;
vukovarsko-srijemska;hr;vukovarsko-srijemska;;
zadarska;hr;zadarska;;
zagrebacka;hr;zagrebacka;;
centre;ht;centre;;
grand'anse;ht;grand'anse;;
l'artibonite;ht;l'artibonite;;
nippes;ht;nippes;;
nord;ht;nord;;
nord-est;ht;nord-est;;
nord-ouest;ht;nord-ouest;;
ouest;ht;ouest;;
sud;ht;sud;;
sud-est;ht;sud-est;;
bács-kiskun;hu;bács-kiskun;;
baranya;hu;baranya;;
békés;hu;békés;;
borsod-abaúj-zemplén;hu;borsod-abaúj-zemplén;;
budapest;hu;budapest;;
csongrád;hu;csongrád;;
fejér;hu;fejér;;
gyor-moson-sopron;hu;gyor-moson-sopron;;
hajdú-bihar;hu;hajdú-bihar;;
heves;hu;heves;;
jász-nagykun-szolnok;hu;jász-nagykun-szolnok;;
komárom-esztergom;hu;komárom-esztergom;;
nógrád;hu;nógrád;;
pest;hu;pest;;
somogy;hu;somogy;;
szabolcs-szatmár-bereg;hu;szabolcs-szatmár-bereg;;
tolna;hu;tolna;;
vas;hu;vas;;
veszprém;hu;veszprém;;
zala;hu;zala;;
aceh;id;aceh;;
bali;id;bali;;
bangka belitung;id;bangka belitung;;
banten;id;banten;;
bengkulu;id;bengkulu;;
gorontalo;id;gorontalo;;
jakarta raya;id;jakarta raya;;
jambi;id;jambi;;
jawa barat;id;jawa barat;;
jawa tengah;id;jawa tengah;;
jawa timur;id;jawa timur;;
kalimantan barat;id;kalimantan barat;;
kalimantan selatan;id;kalimantan selatan;;
kalimantan tengah;id;kalimantan tengah;;
kalimantan timur;id;kalimantan timur;;
kepulauan riau;id;kepulauan riau;;
lampung;id;lampung;;
maluku;id;maluku;;
maluku utara;id;maluku utara;;
nusa tenggara barat;id;nusa tenggara barat;;
nusa tenggara timur;id;nusa tenggara timur;;
papua;id;papua;;
papua barat;id;papua barat;;
riau;id;riau;;
sulawesi barat;id;sulawesi barat;;
sulawesi selatan;id;sulawesi selatan;;
sulawesi tengah;id;sulawesi tengah;;
sulawesi tenggara;id;sulawesi tenggara;;
sulawesi utara;id;sulawesi utara;;
sumatera barat;id;sumatera barat;;
sumatera selatan;id;sumatera selatan;;
sumatera utara;id;sumatera utara;;
yogyakarta;id;yogyakarta;;
carlow;ie;carlow;;cork
cavan;ie;cavan;;dublin
clare;ie;clare;;galway
cork;ie;cork;;kerry
donegal;ie;donegal;;kilkenny
dublin;ie;dublin;;laoighis
galway;ie;galway;;limerick
kerry;ie;kerry;;longford
kildare;ie;kildare;;mayo
kilkenny;ie;kilkenny;;monaghan
laoighis;ie;laoighis;;wexford
leitrim;ie;leitrim;;wicklow
limerick;ie;limerick;;
longford;ie;longford;;
louth;ie;louth;;
mayo;ie;mayo;;
meath;ie;meath;;
monaghan;ie;monaghan;;
offaly;ie;offaly;;
roscommon;ie;roscommon;;
sligo;ie;sligo;;
tipperary;ie;tipperary;;
waterford;ie;waterford;;
westmeath;ie;westmeath;;
wexford;ie;wexford;;
wicklow;ie;wicklow;;
hadarom;il;hadarom;;
haifa;il;haifa;;
hamerkaz;il;hamerkaz;;
hazafon;il;hazafon;;
jerusalem;il;jerusalem;;
tel aviv;il;tel aviv;;
ayre;im;ayre;;
garff;im;garff;;
glenfaba;im;glenfaba;;
michael;im;michael;;
middle;im;middle;;
rushen;im;rushen;;
andaman and nicobar;in;andaman and nicobar;;
andhra pradesh;in;andhra pradesh;;
arunachal pradesh;in;arunachal pradesh;;
assam;in;assam;;
bihar;in;bihar;;
chandigarh;in;chandigarh;;
chhattisgarh;in;chhattisgarh;;
dadra and nagar haveli;in;dadra and nagar haveli;;
daman and diu;in;daman and diu;;
goa;in;goa;;
gujarat;in;gujarat;;
haryana;in;haryana;;
himachal pradesh;in;himachal pradesh;;
jammu and kashmir;in;jammu and kashmir;;
jharkhand;in;jharkhand;;
karnataka;in;karnataka;;
kerala;in;kerala;;
lakshadweep;in;lakshadweep;;
madhya pradesh;in;madhya pradesh;;
maharashtra;in;maharashtra;;
manipur;in;manipur;;
meghalaya;in;meghalaya;;
mizoram;in;mizoram;;
nagaland;in;nagaland;;
nct of delhi;in;nct of delhi;;
odisha;in;odisha;;
puducherry;in;puducherry;;
punjab;in;punjab;;
rajasthan;in;rajasthan;;
sikkim;in;sikkim;;
tamil nadu;in;tamil nadu;;
telangana;in;telangana;;
tripura;in;tripura;;
uttar pradesh;in;uttar pradesh;;
uttarakhand;in;uttarakhand;;
west bengal;in;west bengal;;
al-anbar;iq;al-anbar;;
al-basrah;iq;al-basrah;;
al-muthannia;iq;al-muthannia;;
al-qadisiyah;iq;al-qadisiyah;;
an-najaf;iq;an-najaf;;
arbil;iq;arbil;;
as-sulaymaniyah;iq;as-sulaymaniyah;;
at-ta'mim;iq;at-ta'mim;;
babil;iq;babil;;
baghdad;iq;baghdad;;
dhi-qar;iq;dhi-qar;;
dihok;iq;dihok;;
diyala;iq;diyala;;
karbala';iq;karbala';;
maysan;iq;maysan;;
ninawa;iq;ninawa;;
sala ad-din;iq;sala ad-din;;
wasit;iq;wasit;;
alborz;ir;alborz;;
ardebil;ir;ardebil;;
bushehr;ir;bushehr;;
chahar mahall and bakhtiari;ir;chahar mahall and bakhtiari;;
east azarbaijan;ir;east azarbaijan;;
esfahan;ir;esfahan;;
fars;ir;fars;;
gilan;ir;gilan;;
golestan;ir;golestan;;
hamadan;ir;hamadan;;
hormozgan;ir;hormozgan;;
ilam;ir;ilam;;
kerman;ir;kerman;;
kermanshah;ir;kermanshah;;
khuzestan;ir;khuzestan;;
kohgiluyeh and buyer ahmad;ir;kohgiluyeh and buyer ahmad;;
kordestan;ir;kordestan;;
lorestan;ir;lorestan;;
markazi;ir;markazi;;
mazandaran;ir;mazandaran;;
north khorasan;ir;north khorasan;;
qazvin;ir;qazvin;;
qom;ir;qom;;
razavi khorasan;ir;razavi khorasan;;
semnan;ir;semnan;;
sistan and baluchestan;ir;sistan and baluchestan;;
south khorasan;ir;south khorasan;;
tehran;ir;tehran;;
west azarbaijan;ir;west azarbaijan;;
yazd;ir;yazd;;
zanjan;ir;zanjan;;
austurland;is;austurland;;
hálshreppur;is;hálshreppur;;
höfuðborgarsvæði;is;höfuðborgarsvæði;;
norðurland vestra;is;norðurland vestra;;
suðurland;is;suðurland;;
suðurnes;is;suðurnes;;
vestfirðir;is;vestfirðir;;
vesturland;is;vesturland;;
golan;is;golan;;
abruzzo;it;abruzzo;;
apulia;it;apulia;;
basilicata;it;basilicata;;
calabria;it;calabria;;
campania;it;campania;;
emilia-romagna;it;emilia-romagna;;
friuli-venezia giulia;it;friuli-venezia giulia;;
lazio;it;lazio;;
liguria;it;liguria;;
lombardia;it;lombardia;;
marche;it;marche;;
molise;it;molise;;
piemonte;it;piemonte;;
sardegna;it;sardegna;;
sicily;it;sicily;;
toscana;it;toscana;;
trentino-alto adige;it;trentino-alto adige;;
umbria;it;umbria;;
valle d'aosta;it;valle d'aosta;;
veneto;it;veneto;;
grouville;je;grouville;;
saint berlade;je;saint berlade;;
saint helier;je;saint helier;;
saint john;je;saint john;;
saint lawrence;je;saint lawrence;;
saint martin;je;saint martin;;
saint mary;je;saint mary;;
saint ouen;je;saint ouen;;
saint peter;je;saint peter;;
saint saviour;je;saint saviour;;
trinity;je;trinity;;
clarendon;jm;clarendon;;
hanover;jm;hanover;;
kingston;jm;kingston;;
manchester;jm;manchester;;
portland;jm;portland;;
saint andrew;jm;saint andrew;;
saint ann;jm;saint ann;;
saint catherine;jm;saint catherine;;
saint elizabeth;jm;saint elizabeth;;
saint james;jm;saint james;;
saint mary;jm;saint mary;;
saint thomas;jm;saint thomas;;
trelawny;jm;trelawny;;
westmoreland;jm;westmoreland;;
ajlun;jo;ajlun;;
amman;jo;amman;;
aqaba;jo;aqaba;;
balqa;jo;balqa;;
irbid;jo;irbid;;
jarash;jo;jarash;;
karak;jo;karak;;
ma`an;jo;ma`an;;
madaba;jo;madaba;;
mafraq;jo;mafraq;;
tafilah;jo;tafilah;;
zarqa;jo;zarqa;;
aichi;jp;aichi;;
akita;jp;akita;;
aomori;jp;aomori;;
chiba;jp;chiba;;
ehime;jp;ehime;;
fukui;jp;fukui;;
fukuoka;jp;fukuoka;;
fukushima;jp;fukushima;;
gifu;jp;gifu;;
gunma;jp;gunma;;
hiroshima;jp;hiroshima;;
hokkaido;jp;hokkaido;;
hyogo;jp;hyogo;;
ibaraki;jp;ibaraki;;
ishikawa;jp;ishikawa;;
iwate;jp;iwate;;
kagawa;jp;kagawa;;
kagoshima;jp;kagoshima;;
kanagawa;jp;kanagawa;;
kochi;jp;kochi;;
kumamoto;jp;kumamoto;;
kyoto;jp;kyoto;;
mie;jp;mie;;
miyagi;jp;miyagi;;
miyazaki;jp;miyazaki;;
nagano;jp;nagano;;
naoasaki;jp;naoasaki;;
nara;jp;nara;;
niigata;jp;niigata;;
oita;jp;oita;;
okayama;jp;okayama;;
okinawa;jp;okinawa;;
osaka;jp;osaka;;
saga;jp;saga;;
saitama;jp;saitama;;
shiga;jp;shiga;;
shimane;jp;shimane;;
shizuoka;jp;shizuoka;;
tochigi;jp;tochigi;;
tokushima;jp;tokushima;;
tokyo;jp;tokyo;;
tottori;jp;tottori;;
toyama;jp;toyama;;
wakayama;jp;wakayama;;
yamagata;jp;yamagata;;
yamaguchi;jp;yamaguchi;;
yamanashi;jp;yamanashi;;
baringo;ke;baringo;;
bomet;ke;bomet;;
bungoma;ke;bungoma;;
busia;ke;busia;;
elgeyo-marakwet;ke;elgeyo-marakwet;;
embu;ke;embu;;
garissa;ke;garissa;;
homa bay;ke;homa bay;;
isiolo;ke;isiolo;;
kajiado;ke;kajiado;;
kakamega;ke;kakamega;;
kericho;ke;kericho;;
kiambu;ke;kiambu;;
kilifi;ke;kilifi;;
kirinyaga;ke;kirinyaga;;
kisii;ke;kisii;;
kisumu;ke;kisumu;;
kitui;ke;kitui;;
kwale;ke;kwale;;
laikipia;ke;laikipia;;
lamu;ke;lamu;;
machakos;ke;machakos;;
makueni;ke;makueni;;
mandera;ke;mandera;;
marsabit;ke;marsabit;;
meru;ke;meru;;
migori;ke;migori;;
mombasa;ke;mombasa;;
murang'a;ke;murang'a;;
nairobi;ke;nairobi;;
nakuru;ke;nakuru;;
nandi;ke;nandi;;
narok;ke;narok;;
nyamira;ke;nyamira;;
nyandarua;ke;nyandarua;;
nyeri;ke;nyeri;;
samburu;ke;samburu;;
siaya;ke;siaya;;
taita taveta;ke;taita taveta;;
tana river;ke;tana river;;
tharaka-nithi;ke;tharaka-nithi;;
trans nzoia;ke;trans nzoia;;
turkana;ke;turkana;;
uasin gishu;ke;uasin gishu;;
vihiga;ke;vihiga;;
wajir;ke;wajir;;
west pokot;ke;west pokot;;
batken;kg;batken;;
biškek;kg;biškek;;
chüy;kg;chüy;;
jalal-abad;kg;jalal-abad;;
naryn;kg;naryn;;
osh;kg;osh;;
osh (city);kg;osh (city);;
talas;kg;talas;;
ysyk-köl;kg;ysyk-köl;;
bântéay méanchey;kh;bântéay méanchey;;
batdâmbâng;kh;batdâmbâng;;
kâmpóng cham;kh;kâmpóng cham;;
kâmpóng chhnang;kh;kâmpóng chhnang;;
kâmpóng spœ;kh;kâmpóng spœ;;
kâmpóng thum;kh;kâmpóng thum;;
kâmpôt;kh;kâmpôt;;
kândal;kh;kândal;;
kaôh kong;kh;kaôh kong;;
kep;kh;kep;;
krâchéh;kh;krâchéh;;
krong pailin;kh;krong pailin;;
krong preah sihanouk;kh;krong preah sihanouk;;
môndól kiri;kh;môndól kiri;;
otdar mean chey;kh;otdar mean chey;;
phnom penh;kh;phnom penh;;
pouthisat;kh;pouthisat;;
preah vihéar;kh;preah vihéar;;
prey vêng;kh;prey vêng;;
rôtânôkiri;kh;rôtânôkiri;;
siemréab;kh;siemréab;;
stœng trêng;kh;stœng trêng;;
svay rieng;kh;svay rieng;;
takêv;kh;takêv;;
tbong khmum;kh;tbong khmum;;
mwali;km;mwali;;
njazídja;km;njazídja;;
nzwani;km;nzwani;;
christ church nichola town;kn;christ church nichola town;;
saint anne sandy point;kn;saint anne sandy point;;
saint george basseterre;kn;saint george basseterre;;
saint george gingerland;kn;saint george gingerland;;
saint james windward;kn;saint james windward;;
saint john capisterre;kn;saint john capisterre;;
saint john figtree;kn;saint john figtree;;
saint mary cayon;kn;saint mary cayon;;
saint paul capisterre;kn;saint paul capisterre;;
saint paul charlestown;kn;saint paul charlestown;;
saint peter basseterre;kn;saint peter basseterre;;
saint thomas lowland;kn;saint thomas lowland;;
saint thomas middle island;kn;saint thomas middle island;;
trinity palmetto point;kn;trinity palmetto point;;
chagang-do;kp;chagang-do;;
hamgyong-bukto;kp;hamgyong-bukto;;
hamgyong-namdo;kp;hamgyong-namdo;;
hwanghae-bukto;kp;hwanghae-bukto;;
hwanghae-namdo;kp;hwanghae-namdo;;
kaesong;kp;kaesong;;
kangwon-do;kp;kangwon-do;;
p'yongan-bukto;kp;p'yongan-bukto;;
p'yongan-namdo;kp;p'yongan-namdo;;
p'yongyang;kp;p'yongyang;;
rason;kp;rason;;
ryanggang;kp;ryanggang;;
busan;kr;busan;;
chungcheongbuk-do;kr;chungcheongbuk-do;;
chungcheongnam-do;kr;chungcheongnam-do;;
daegu;kr;daegu;;
daejeon;kr;daejeon;;
gangwon-do;kr;gangwon-do;;
gwangju;kr;gwangju;;
gyeonggi-do;kr;gyeonggi-do;;
gyeongsangbuk-do;kr;gyeongsangbuk-do;;
gyeongsangnam-do;kr;gyeongsangnam-do;;
incheon;kr;incheon;;
jeju;kr;jeju;;
jeollabuk-do;kr;jeollabuk-do;;
jeollanam-do;kr;jeollanam-do;;
sejong;kr;sejong;;
seoul;kr;seoul;;
ulsan;kr;ulsan;;
al ahmadi;kw;al ahmadi;;
al farwaniyah;kw;al farwaniyah;;
al jahrah;kw;al jahrah;;
al kuwayt;kw;al kuwayt;;
hawalli;kw;hawalli;;
mubarak al-kabeer;kw;mubarak al-kabeer;;
bodden town;ky;bodden town;;
cayman brac;ky;cayman brac;;
east end;ky;east end;;
george town;ky;george town;;
little cayman;ky;little cayman;;
north side;ky;north side;;
west bay;ky;west bay;;
almaty;kz;almaty;;
aqmola;kz;aqmola;;
aqtöbe;kz;aqtöbe;;
atyrau;kz;atyrau;;
east kazakhstan;kz;east kazakhstan;;
mangghystau;kz;mangghystau;;
north kazakhstan;kz;north kazakhstan;;
pavlodar;kz;pavlodar;;
qaraghandy;kz;qaraghandy;;
qostanay;kz;qostanay;;
qyzylorda;kz;qyzylorda;;
south kazakhstan;kz;south kazakhstan;;
west kazakhstan;kz;west kazakhstan;;
zhambyl;kz;zhambyl;;
attapu;la;attapu;;
bokeo;la;bokeo;;
bolikhamxai;la;bolikhamxai;;
champasak;la;champasak;;
houaphan;la;houaphan;;
khammouan;la;khammouan;;
louang namtha;la;louang namtha;;
louangphrabang;la;louangphrabang;;
oudômxai;la;oudômxai;;
phôngsali;la;phôngsali;;
saravan;la;saravan;;
savannakhét;la;savannakhét;;
vientiane;la;vientiane;;
vientiane [prefecture];la;vientiane [prefecture];;
xaignabouri;la;xaignabouri;;
xaisômboun;la;xaisômboun;;
xékong;la;xékong;;
xiangkhoang;la;xiangkhoang;;
lago nicaragua;la;lago nicaragua;;
akkar;lb;akkar;;
baalbak - hermel;lb;baalbak - hermel;;
beirut;lb;beirut;;
bekaa;lb;bekaa;;
mount lebanon;lb;mount lebanon;;
nabatiyeh;lb;nabatiyeh;;
north;lb;north;;
south;lb;south;;
anse-la-raye;lc;anse-la-raye;;
canaries;lc;canaries;;
castries;lc;castries;;
choiseul;lc;choiseul;;
dennery;lc;dennery;;
gros islet;lc;gros islet;;
laborie;lc;laborie;;
micoud;lc;micoud;;
soufrière;lc;soufrière;;
vieux fort;lc;vieux fort;;
balzers;li;balzers;;
eschen;li;eschen;;
gamprin;li;gamprin;;
mauren;li;mauren;;
planken;li;planken;;
ruggell;li;ruggell;;
schaan;li;schaan;;
schellenberg;li;schellenberg;;
triesen;li;triesen;;
triesenberg;li;triesenberg;;
valduz;li;valduz;;
ampara;lk;ampara;;
anuradhapura;lk;anuradhapura;;
badulla;lk;badulla;;
batticaloa;lk;batticaloa;;
colombo;lk;colombo;;
galle;lk;galle;;
gampaha;lk;gampaha;;
hambantota;lk;hambantota;;
jaffna;lk;jaffna;;
kalutara;lk;kalutara;;
kandy;lk;kandy;;
kegalle;lk;kegalle;;
kilinochchi;lk;kilinochchi;;
kurunegala;lk;kurunegala;;
mannar;lk;mannar;;
matale;lk;matale;;
matara;lk;matara;;
moneragala;lk;moneragala;;
mullaitivu;lk;mullaitivu;;
nuwara eliya;lk;nuwara eliya;;
polonnaruwa;lk;polonnaruwa;;
puttalam;lk;puttalam;;
ratnapura;lk;ratnapura;;
trincomalee;lk;trincomalee;;
vavuniya;lk;vavuniya;;
bomi;lr;bomi;;
bong;lr;bong;;
gbapolu;lr;gbapolu;;
grand cape mount;lr;grand cape mount;;
grandbassa;lr;grandbassa;;
grandgedeh;lr;grandgedeh;;
grandkru;lr;grandkru;;
lofa;lr;lofa;;
margibi;lr;margibi;;
maryland;lr;maryland;;
montserrado;lr;montserrado;;
nimba;lr;nimba;;
river cess;lr;river cess;;
river gee;lr;river gee;;
sinoe;lr;sinoe;;
berea;ls;berea;;
butha-buthe;ls;butha-buthe;;
leribe;ls;leribe;;
mafeteng;ls;mafeteng;;
maseru;ls;maseru;;
mohale's hoek;ls;mohale's hoek;;
mokhotlong;ls;mokhotlong;;
qacha's nek;ls;qacha's nek;;
quthing;ls;quthing;;
thaba-tseka;ls;thaba-tseka;;
alytaus;lt;alytaus;;
kauno;lt;kauno;;
klaipedos;lt;klaipedos;;
marijampoles;lt;marijampoles;;
panevezio;lt;panevezio;;
šiauliai;lt;šiauliai;;
taurages;lt;taurages;;
telšiai;lt;telšiai;;
utenos;lt;utenos;;
vilniaus;lt;vilniaus;;
diekirch;lu;diekirch;;
grevenmacher;lu;grevenmacher;;
luxembourg;lu;luxembourg;;
kurzeme;lv;kurzeme;;
latgale;lv;latgale;;
riga;lv;riga;;
vidzeme;lv;vidzeme;;
zemgale;lv;zemgale;;
al butnan;ly;al butnan;;
al jabal al akhdar;ly;al jabal al akhdar;;
al jabal al gharbi;ly;al jabal al gharbi;;
al jifarah;ly;al jifarah;;
al jufrah;ly;al jufrah;;
al kufrah;ly;al kufrah;;
al marj;ly;al marj;;
al marqab;ly;al marqab;;
al wahat;ly;al wahat;;
an nuqat al khams;ly;an nuqat al khams;;
az zawiyah;ly;az zawiyah;;
benghazi;ly;benghazi;;
darnah;ly;darnah;;
ghat;ly;ghat;;
misratah;ly;misratah;;
murzuq;ly;murzuq;;
nalut;ly;nalut;;
sabha;ly;sabha;;
surt;ly;surt;;
tripoli;ly;tripoli;;
wadi al hayat;ly;wadi al hayat;;
wadi ash shati';ly;wadi ash shati';;
chaouia - ouardigha;ma;chaouia - ouardigha;;
doukkala - abda;ma;doukkala - abda;;
fès - boulemane;ma;fès - boulemane;;
gharb - chrarda - béni hssen;ma;gharb - chrarda - béni hssen;;
grand casablanca;ma;grand casablanca;;
guelmim - es-semara;ma;guelmim - es-semara;;
